"g";"MANDANTE";"VISITANTE";"h";"a";"y1";"y2"
47;"Santos";"Atlético-MG";17;1;"1";"2"
48;"Criciúma";"Internacional";8;15;"0";"0"
49;"Vitória";"Palmeiras";20;16;"0";"1"
50;"Sport";"Bahia";19;3;"1";"0"
51;"Coritiba";"Internacional";7;15;"1";"1"
52;"Flamengo";"Bahia";11;3;"1";"1"
53;"Cruzeiro";"Sport";9;19;"2";"0"
54;"Criciúma";"Chapecoense";8;5;"1";"0"
55;"Corinthians";"Atlético-PR";6;2;"1";"1"
56;"Grêmio";"Botafogo";14;4;"2";"1"
57;"Fluminense";"São Paulo";12;18;"5";"2"
58;"Palmeiras";"Figueirense";16;10;"1";"0"
59;"Goiás";"Santos";13;17;"2";"2"
60;"Vitória";"Atlético-MG";20;1;"2";"3"
61;"Bahia";"Fluminense";3;12;"0";"1"
62;"São Paulo";"Grêmio";18;14;"1";"0"
63;"Figueirense";"Goiás";10;13;"0";"1"
64;"Santos";"Flamengo";17;11;"0";"0"
65;"Sport";"Corinthians";19;6;"1";"4"
66;"Atlético-PR";"Coritiba";2;7;"2";"0"
67;"Chapecoense";"Palmeiras";5;16;"2";"0"
68;"Botafogo";"Vitória";4;20;"1";"1"
69;"Atlético-MG";"Criciúma";1;8;"0";"0"
70;"Internacional";"Cruzeiro";15;9;"1";"3"
71;"Sport";"Grêmio";19;14;"0";"0"
72;"Palmeiras";"Botafogo";16;4;"0";"2"
73;"Criciúma";"Coritiba";8;7;"1";"0"
74;"Internacional";"Chapecoense";15;5;"2";"0"
75;"Goiás";"Vitória";13;20;"0";"0"
76;"Corinthians";"Cruzeiro";6;9;"1";"0"
77;"Atlético-PR";"São Paulo";2;18;"2";"2"
78;"Atlético-MG";"Fluminense";1;12;"2";"0"
79;"Flamengo";"Figueirense";11;10;"1";"1"
80;"Bahia";"Santos";3;17;"0";"2"
81;"São Paulo";"Atlético-MG";18;1;"2";"1"
